zh_duty,zh_name,zh_require,zh_type
"负责HR政策、制度、体系与重点项目在所属业务领域内部的落地与推动执行；
深入了解所负责领域业务与人员发展状况，评估并明确组织与人才发展对HR的需求；
驱动公司资源提供HR解决方案，并整合内部资源推动执行；
提升管理干部的人力资源管理能力，关注关键人才融入与培养，确保持续的沟通与反馈；
协助完成部门的招聘工作；
协助管理层进行人才管理、团队与文化建设，确保公司文化在所属部门的落地。",XTB-HRBP,"本科以上学历；
5年以上HR工作经验，企业人力资源管理从业者优先；
综合的HR管理工作经验，至少有HR模块之一的丰富实践经验，扎实的专业功底；
优秀的个人综合素质，有较强的事业心与成就动机；
人际理解力、沟通协调能力强，善于整合资源驱动目标达成，出色的多任务、多角色平衡能力。",人力资源
"岗位职责： 
NLP方向
",29912-nlp方向,NLP方向经验,技术
"根据部门的质量管理体系的战略目标制定团队的工作目标和能力建设，确保测试团队能够及时、有效的完成品质目标；
推进团队技术成长以及创新，包括先进测试技术以及理念的引入、专项测试技术的发展以及创新、测试工具平台的改进和完善；
负责团队成员的招聘和培养，为团队建立人才梯队。",PCG04-测试Leader,"统招本科及以上学历，6年以上相关工作经验，3年以上大、中型互联网企业的研发或测试团队管理经验；
熟悉移动互联网产品，尤其是信息流产品，短视频产品的项目；
熟悉软件工程的理论和方法，对各种软件测试的技术、理论、方法都有实践经验，如白盒测试、黑盒测试；
在自动化、客户端性能、服务器性能、安全等专项测试技术方面有建树者优先；
能够根据市场情况、项目特点、用户需求等制定完善的项目测试计划和测试方案，善于总结项目、团队工作中存在的问题，并能够提出有效的改进办法；
具有良好的判断、决策、计划与执行能力，优秀的沟通、协调、组织能力和跨专业技术团队管理能力；
熟悉Devops优先，有工具平台建设经验优先，有开发经验优先。
良好的职业道德和GrowthMindset意识。",技术
"搭建3D场景美术关卡；
配合关卡策划进行布局调整，和各种关卡性能优化；
配合主美进行关卡美术上的修改工作；",24987-3D美术关卡,"3年以上关卡美术经验；
有较好的造景和景观设计能力；
有Unreal和Unity经验者优先考虑。",设计
"负责游戏相关的产品、技术、市场类文档和素材的翻译跟进；
收集和整理海外同类游戏市场信息及产品信息；
推动与版权方建立有效的双边合作与沟通机制，跟进并推动双方合作事项开展；
促进与版权方建立良好信任的合作关系。",20589-海外PM(深圳),"本科以上学历，2年以上日漫IP引进游戏海外PM经验，或游戏运营经验； 
具有丰富的版权沟通经验，了解IP游戏的开发和运营流程，至少跟进过一款网络游戏的公测及发布； 
有丰富的游戏经历，熟悉游戏类、社区类网站中的常用名词、专业术语和规范；
出色的日语口译和笔译能力，具有较强的文字组织能力和商务谈判能力； 
积极主动，团队合作意识强，善于沟通及表达，能承担较强工作压力； 
可接受海外地区出差。",产品
"负责角色动作制作；
把握角色动作的节奏、速度层次、打击力度；
动作设计流畅、合理、生动，赋予角色和物体生命力；
与策划、程序沟通动作效果及实现方式，并协助资源入库。",15618-3d动画设计师,"精通3D MAX、maya等相关设计软件；
3年以上动作设计经验，有Ureal 4项目经验更佳；
有较强的综合能力，准确理解工作需求并高效完成；
对人体、四组动物、异型生物的肢体结构有一定研究；
有责任心、善于沟通、乐于合作。",设计
"负责游戏美术视觉设计工作；
有把握产品风格的能力，能够独立完成界面、图标、相关的LOGO等元素设计；
跟进设计效果最终在产品的实现，保证设计品质与实现品质一致性。",15616-高级UI设计师,"5年以上游戏UI相关经验，对不同风格的游戏均可驾驭，完整参与过至少一款游戏的视觉设计工作；
扎实的设计功底和优秀的审美能力，对用户、市场和流行趋势有自己的理解和分析能力；
了解游戏开发的完整流程和各个模块的具体职责，有团队合作精神，善于沟通，乐于分享；
态度积极，具有良好的工作协作能力和优秀的自我管理能力， 具有良好的应变能力与抗压能力；
熟练使用相关设计软件，有较强手绘能力者优先；
热爱游戏事业，注重用户体验；善于挖掘产品的独特性和创新性，追求细节和崇尚匠人精神。",设计
"1、根据游戏版本进度，配合输出版本内容，满足产品预热的需求； 
2、根据版本的多样性，输出样本式的玩法并给玩家指引； 
3、负责官方多个渠道的游戏内容管理和输出，把握整体风格； 
4、负责线上用户的关系维护和管理，为用户输出的内容负责； 
5、能够根据不同的用户层次输出不同品质的内容。",19407-手游内容运营,"1、大学本科及以上学历；
2、优秀的文案撰写能力；
3、两年以上工作经验，具备不错的文字表达能力；
4、对新鲜事务敏感，能捕捉到玩家不错的创意点； 
5、沟通能力强，能与玩家打成一片，并且独立制作并输出作品； 
6、有一定的推广和数据监控能力，能独立采集和分析数据。",产品
负责手游产品的各阶段版本管理工作，跟进版本进度，保证版本稳定性； 跟进手游产品平台接入，版本测试、版本部署、版本发布等版本流程各环节工作； 负责日常外网问题处理，推动版本质量及内容优化； 负责游戏环境、游戏生态和舆情监控等工作。,19407-手游版本管理,本科及以上学历，喜欢玩游戏，有较强的逻辑思维能力； 有2年以上网络游戏工作经验，1年以上版本模块工作经验，熟悉游戏开发或运营流程，能独立规划和协调平台各个模块成员的开发工作； 积极主动，善于沟通及表达，能承担较强工作压力； 有较强的推动和沟通协调能力，团队合作意识强； 认真踏实，自驱和责任心强。,产品
"• 负责落地、规划和设计公司级课程管理、讲师管理、人才图谱；
• 负责规划、设计和实施专项的人才培养项目； 
• 负责搭建北京区域人才成长路径、培养体系建设、培训需求调研分析、课程开发、培训组织及效果评估、内外部学习资源的整合等；",RP-培训经理," 本科及以上学历，5年以上培训管理工作经验； 有互联网、咨询公司背景或BP工作经验优先； 
• 对培训工作有深厚兴趣，志愿在培训管理方向上发展； 
• 熟练掌握培训需求调研分析、课程开发讲授、培训组织及效果评估等技能； 
• 优秀的学习能力、沟通协调能力和影响力，跨团队项目管理能力，以及内外部资源整合能力； ",人力资源
